Timestamp,Discord Username,Rank Your Country Choices [Abyssinia],Rank Your Country Choices [Ajuuran],Rank Your Country Choices [Athapasca],Rank Your Country Choices [Austria],Rank Your Country Choices [Aymara],Rank Your Country Choices [Ayutthaya],Rank Your Country Choices [England],Rank Your Country Choices [France],Rank Your Country Choices [Guarani],Rank Your Country Choices [Inuit],Rank Your Country Choices [Kongo],Rank Your Country Choices [Mapuche-Tehuelche],Rank Your Country Choices [Ming],Rank Your Country Choices [Mughal],Rank Your Country Choices [Netherlands],Rank Your Country Choices [Ottoman],Rank Your Country Choices [Poland-Lithuania],Rank Your Country Choices [Portugal],Rank Your Country Choices [Qing],Rank Your Country Choices [Russia],Rank Your Country Choices [Safavid],Rank Your Country Choices [Spain],Rank Your Country Choices [Sweden],Rank Your Country Choices [Ute-Shoshone],Rank Your Country Choices [Tokugawa],Select Here If You Have No Power Preferences,Are there any people you refuse to play with? (This will be shared with the Admins and your GM Team.),Anything else the Admins should know?
2/14/2026 18:16:14,ceffc8ce,,5th,,,,,,1st,,2nd,,,,,4th,,,,,3rd,,,,,,,17e1a0b1,
2/14/2026 13:38:16,277e1d05,,,,,,,,,,4th,,1st,,,2nd,3rd,,5th,,,,,,,,,e3b0c442,
2/16/2026 15:26:59,dffd2e66,,,2nd,,,3rd,,,,,,,,1st,,5th,,,,,,,,4th,,,"1efc89f9, 986c2503, 2e9efe53",
2/16/2026 21:25:59,66772f18,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/21/2026 12:52:27,61af516f,5th,,,,,,,,,,,,,,,3rd,4th,,,2nd,1st,,,,,,e3b0c442,
2/14/2026 17:48:28,8d30e036,,,5th,1st,,,,,,,,,,4th,,,2nd,,,,,,,,3rd,,e3b0c442,
2/20/2026 13:08:48,f8a06aa2,,3rd,,1st,,,,,,,,,,,,,,,,,,,,,2nd,,e3b0c442,
2/15/2026 16:00:30,0b4da7e4,,,,,2nd,,4th,,,,,3rd,,,,,,,,,,,,,1st,,e3b0c442,
2/14/2026 13:16:20,6c755625,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 13:15:46,2fdc0251,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 12:56:54,7a8b7c0c,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/15/2026 12:09:31,d3da3d36,,,,5th,,,2nd,,,,,,,,3rd,4th,,,,,,1st,,,,,e3b0c442,
2/14/2026 22:10:10,1555724f,,3rd,,2nd,,,,,,,,5th,,,,,4th,,,,,,1st,,,,e3b0c442,
2/14/2026 12:19:53,259eaa94,,,5th,4th,,,,,,2nd,,3rd,,,,,1st,,,,,,,,,,e3b0c442,
2/17/2026 22:47:25,0dcf1987,,,,,,4th,,,,3rd,2nd,,,5th,,,,,,,,,,1st,,,e3b0c442,
2/14/2026 12:20:02,39027999,,,,3rd,,,,,,,,,,,,,,,4th,1st,,,2nd,,,,e3b0c442,
2/14/2026 16:08:50,b8e81012,,,5th,1st,3rd,,,,,,,4th,,,,2nd,,,,,,,,,,,e3b0c442,
2/14/2026 13:25:07,9e8cc9ff,,,,,,,4th,,,,,,,5th,,1st,,,,3rd,,,,,2nd,,e3b0c442,
2/14/2026 14:27:54,992f0dae,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 12:07:56,a80ef6cf,,,,,,,4th,3rd,,,,,,,1st,5th,,2nd,,,,,,,,,e3b0c442,
2/14/2026 12:51:58,db8f0a5e,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/21/2026 9:19:27,2ea3c0e0,4th,,,,,,,,,,,,,,,2nd,,,1st,,,,,,3rd,,e3b0c442,
2/14/2026 12:41:10,1801a675,,5th,,,,1st,,,,4th,,3rd,,,,,,,,,,,,,2nd,,e3b0c442,
2/16/2026 21:46:44,c9a6d773,,,,,,,,,,,2nd,,,5th,,,4th,1st,,,,,3rd,,,,e3b0c442,
2/14/2026 12:17:07,46317fdc,4th,,2nd,,,,,,5th,3rd,,,,,,,,,,,,,,,1st,,e3b0c442,
2/14/2026 12:19:58,beb0f36f,,,3rd,,2nd,,,,,,,,,,,1st,,,4th,,,,,,5th,,e3b0c442,
2/16/2026 18:59:39,beb0f36f,,,1st,2nd,,,,,,,3rd,,,,,,,,,4th,,,,,5th,,e3b0c442,
2/14/2026 16:46:06,c46d3f45,,,,4th,,1st,,,,,,3rd,,,,,,,,,,,,2nd,,,9390298f,
2/14/2026 12:11:16,03fa2621,,,,,,,,,,1st,2nd,,,3rd,,4th,,5th,,,,,,,,,e3b0c442,
2/15/2026 5:06:33,74590b05,1st,2nd,,,,,,,5th,,3rd,,,4th,,,,,,,,,,,,,e3b0c442,
2/15/2026 3:14:12,965febee,4th,3rd,,,,2nd,5th,,,,,,,,,,,,,,,,,,1st,,e3b0c442,
2/14/2026 12:19:09,c0f1c13f,,2nd,,,,,5th,1st,,,,,,,,,3rd,,,,,,4th,,,,e3b0c442,
2/17/2026 21:55:10,0d0030da,,,,4th,,,,,,3rd,,,5th,,2nd,,,,,,,,,,1st,,e3b0c442,
2/19/2026 23:53:42,594f540a,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 13:13:42,8befc2b3,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 15:52:21,b1839db7,,,,2nd,,,,,,,4th,,,3rd,,,1st,,,,5th,,,,,,e3b0c442,
2/19/2026 21:28:37,d30a7241,,,,,,,,,,,,2nd,,5th,1st,,,,4th,,,,,,3rd,,"2e9efe53, 1801a675",
2/14/2026 12:19:53,9077ad52,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 18:02:40,c3b034b1,,,,1st,5th,,,,,,3rd,,,4th,,,2nd,,,,,,,,,,e3b0c442,
2/14/2026 16:14:32,cdc9c71a,,4th,,,,,2nd,1st,,,,5th,,,,,,3rd,,,,,,,,,e3b0c442,
2/14/2026 13:50:27,810301b8,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 13:15:32,aab792c0,,3rd,2nd,5th,,,,,,,4th,,,1st,,,,,,,,,,,,,e3b0c442,
2/15/2026 17:37:04,330e2842,,,5th,4th,,,,,,2nd,,,,,,,3rd,,,,,,,1st,,,e3b0c442,
2/14/2026 12:09:37,55946acf,,2nd,,,,3rd,,,,,,,,,,,,1st,,,,,,,,,"a972407a, 5cb2f89b, 992f0dae, 1ed5971f",
2/14/2026 16:39:40,55946acf,,3rd,,,,,,,,5th,,,,4th,,,,1st,,,,2nd,,,,,"1ed5971f, 5cb2f89b, a972407a",
2/15/2026 17:59:51,55946acf,,3rd,,,,4th,,,,,,,,5th,,,,1st,,,,2nd,,,,,"1ed5971f, 5cb2f89b, a972407a, 1882cdc7",
2/14/2026 12:08:25,50fa8510,,,,,,,,4th,,,,,5th,,,,1st,,,2nd,,,3rd,,,,e3b0c442,
2/14/2026 15:51:42,20b9a582,,,,,,,,,,,,1st,,,,2nd,,,,5th,,3rd,,,4th,,6b1a05a4,
2/15/2026 0:03:36,f040f7c3,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/15/2026 4:52:40,2ce0e7cc,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 12:09:02,2c7b3aee,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/21/2026 6:25:33,dbe03cb1,,,,,,,1st,,,,3rd,,,5th,,,4th,,,,,2nd,,,,,e3b0c442,
2/17/2026 14:49:05,becd1502,,5th,,,,,,,3rd,2nd,4th,1st,,,,,,,,,,,,,,,e3b0c442,
2/14/2026 13:57:07,4bed1b2f,,,2nd,,,,,,,1st,,5th,,4th,,,,,,,,,,3rd,,,e3b0c442,
2/14/2026 12:42:21,003c5885,5th,4th,,,,,,,,,,,,3rd,,,,,,2nd,1st,,,,,,e3b0c442,
2/14/2026 12:36:33,35d8e34e,4th,,,,3rd,,,,2nd,,5th,1st,,,,,,,,,,,,,,,e3b0c442,
2/15/2026 15:18:15,ca10c444,,,1st,,,,,2nd,,,,,,,,,,3rd,4th,,,,,,5th,,e3b0c442,
2/17/2026 12:05:08,ca10c444,,,4th,,,3rd,,2nd,,,,,,,,,,1st,,,,,,,5th,,e3b0c442,
2/14/2026 12:55:22,117957ef,,,,,,,,,,1st,,,,,5th,,,2nd,,,,4th,,,3rd,,9390298f,
2/19/2026 23:59:29,a1735fb6,5th,,4th,,2nd,,,1st,,,,,,,,,,,,,,,,,3rd,,e3b0c442,
2/21/2026 4:15:41,346808c5,,,,,,1st,,,,3rd,,2nd,,,4th,,,,,,,,5th,,,,e3b0c442,
2/16/2026 11:30:01,910a4a44,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 12:06:55,d7573345,,,,,,2nd,,,4th,,,,,3rd,,,,,5th,1st,,,,,,,e3b0c442,
2/14/2026 12:53:40,9.19E+299,1st,,,,,,,,4th,,2nd,3rd,,,,,,,,,,,,,5th,,e3b0c442,
2/14/2026 13:20:22,6fa2f1cb,,,,,4th,1st,,,,,3rd,,,,,,,,,,,,,2nd,5th,,e3b0c442,
2/14/2026 12:11:19,151c6d37,,5th,,1st,,,,,,2nd,,3rd,,,,,,,,,,,,,4th,,e3b0c442,
2/14/2026 12:20:06,6388a861,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 13:49:24,feabb8db,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 19:21:55,bf88cb18,,,,,,,,,,,4th,,,,,,,3rd,5th,1st,,,,2nd,,,e3b0c442,
2/21/2026 7:54:30,6e08fda9,,5th,,,,4th,,,,,,,,3rd,,2nd,,,,,1st,,,,,,e3b0c442,
2/17/2026 17:41:53,18768348,,3rd,,,,,,,,,,,,2nd,,,,,1st,,,,4th,,,,e3b0c442,
2/19/2026 17:03:24,18768348,,,,,,,,,,1st,,,,,,,4th,,2nd,,,,,3rd,,,e3b0c442,
2/14/2026 12:11:50,4c270fca,,5th,,,,,,,,,4th,1st,,3rd,,,,,,,,,,,2nd,No Preferences,e3b0c442,
2/14/2026 16:51:27,593f92bb,,,,,,,1st,4th,,2nd,,,,,,,,,,,,,,3rd,,,e3b0c442,
2/20/2026 21:28:26,6b1a05a4,,,,,,,2nd,4th,,1st,,,,,,,,,5th,,,,,3rd,,,"9e8cc9ff, f54f06c8",
2/15/2026 4:35:25,2e9efe53,,,,,,2nd,,1st,,4th,,,5th,,,,,,,,,,,,3rd,,"911f72e0, 4c0a6f38",
2/14/2026 15:10:32,7933e2cc,,2nd,,,,,,,,4th,,,,,,,,,,,,,5th,3rd,1st,,"1ed5971f, cd1e3252",
2/14/2026 12:11:05,efc5e624,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 14:50:49,a96a30f3,4th,1st,,,,,,,,,,,,,,,,,,,2nd,,5th,3rd,,,e3b0c442,
2/14/2026 12:11:59,26b3f3f9,,2nd,4th,,,,,,,,3rd,1st,,,,,,,,,,,,5th,,,e3b0c442,
2/14/2026 17:52:19,16999877,,2nd,3rd,,,,,,,,4th,1st,,,,,,,,,,,,5th,,,e3b0c442,
2/15/2026 11:05:05,462ee3fd,,,5th,,3rd,,,,,,,4th,,,,,,,2nd,,,,,1st,,,0039a467,
2/18/2026 19:16:00,462ee3fd,,4th,,,2nd,,,,,,,5th,1st,,,,,,,,,,,3rd,,,0039a467,
2/21/2026 11:36:54,462ee3fd,,3rd,,,1st,,,,,,,5th,2nd,,,,,,,,,,,4th,,,0039a467,
2/14/2026 12:14:53,7e4557f1,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 12:47:46,08f0ab24,,4th,5th,3rd,,,,,,,,,,,,,,,,,,,2nd,1st,,,e3b0c442,
2/14/2026 13:21:27,712b292c,5th,1st,,,,3rd,,,,,,,,,,,,,4th,,,,2nd,,,,e3b0c442,
2/14/2026 12:09:33,c8813a1d,3rd,,,1st,,,,,,,,2nd,,,,,,,,,,,4th,,5th,,e3b0c442,
2/14/2026 13:07:57,588ac326,,,,,4th,,,,,,3rd,1st,,,,,,,,,,,2nd,5th,,,e3b0c442,
2/14/2026 15:22:37,265c325e,,,,,,,5th,4th,,,,,,,1st,,,2nd,,3rd,,,,,,,e3b0c442,
2/14/2026 12:35:28,aa5b3a11,,,,,,,,,,1st,3rd,,,,,,,,,4th,,,5th,,2nd,,e3b0c442,
2/14/2026 12:22:42,968a05ac,,,,3rd,4th,,,,,,5th,,,,2nd,1st,,,,,,,,,,,e3b0c442,
2/14/2026 12:21:42,4d544ea4,5th,,,1st,4th,,,,,,,,2nd,3rd,,,,,,,,,,,,,e3b0c442,
2/14/2026 19:14:26,ec2d8d7d,,,,,,,,2nd,,3rd,,,,,,5th,,,,4th,,1st,,,,No Preferences,e3b0c442,
2/14/2026 12:16:29,75ec8165,,,,,,,,,,4th,,,,,1st,5th,,2nd,,,,,,,3rd,,e3b0c442,
2/18/2026 18:37:09,75ec8165,,,,,,3rd,1st,,,4th,,,,,2nd,5th,,,,,,,,,,,e3b0c442,
2/15/2026 15:01:04,b697758f,,1st,,,,,,4th,,,5th,,,,,2nd,,,,,,,,3rd,,,e3b0c442,
2/14/2026 13:00:13,4bb5bc20,,,,,,2nd,,,5th,1st,,,,,,,,,3rd,,,,,,4th,,6e6dd9c0,
2/14/2026 12:13:48,4e0ae49d,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/20/2026 21:34:07,935ee9d5,,,,,,,1st,2nd,,,,,,,4th,,,5th,,,,3rd,,,,,e3b0c442,
2/16/2026 12:38:03,2edb8f4a,4th,,,,,,,,2nd,,1st,,,3rd,,,,,5th,,,,,,,,e3b0c442,
2/14/2026 12:53:03,d134e5a4,,,,,,,,,4th,,,,,1st,,,,,5th,,2nd,,3rd,,,,e3b0c442,
2/15/2026 10:39:40,e4bfd39e,,,,3rd,2nd,1st,,,,,5th,,,,,,,,,,,,,4th,,,55946acf,
2/19/2026 19:57:50,f67f746f,,,,,,,,3rd,,4th,,,,,,2nd,,,,,,5th,,1st,,,e3b0c442,
2/18/2026 5:49:41,34e87a26,,,,5th,,2nd,,,,,,1st,,,,,3rd,,,,,,,,4th,,e3b0c442,
2/18/2026 23:15:13,8e467f3d,,,,,,,,,,,,,,1st,,3rd,5th,,,,2nd,,4th,,,,e3b0c442,
2/17/2026 11:35:35,a88de5e8,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 13:36:35,2d15cc2e,,,,2nd,,,,,,,,,,,,,,,,,4th,,3rd,,1st,No Preferences,e3b0c442,
2/14/2026 12:06:52,d754504e,2nd,,1st,4th,3rd,,,,,,,,,,,,5th,,,,,,,,,,e3b0c442,
2/14/2026 12:29:43,a87a8977,,,,,,,,2nd,,,,,3rd,1st,,,,,,,,4th,5th,,,,e3b0c442,
2/19/2026 13:07:35,73a1f9a3,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/16/2026 10:33:10,dd074ff0,2nd,,,5th,,,,,,,,4th,,,,3rd,,,,,,,,,1st,,e3b0c442,
2/14/2026 12:09:08,e6ec4798,,,,,,,2nd,,,,,3rd,,,,5th,,,,4th,,1st,,,,,e3b0c442,
2/14/2026 16:47:09,3cf230e5,5th,2nd,,,,3rd,,,,,4th,,,,,,,,,,,,,,1st,,e3b0c442,
2/14/2026 12:30:44,7400db9f,,4th,,,,1st,,,,,,,,,,3rd,,,5th,,,,,,2nd,,e3b0c442,
2/14/2026 13:54:19,bb55f74a,,,,,,2nd,,,,3rd,,1st,,,,4th,,,,,,,,,5th,,e3b0c442,
2/14/2026 12:05:36,cd9272bd,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 13:41:13,babf437a,4th,,,,,,,,,,2nd,5th,,,,,,,,1st,,,3rd,,,,e3b0c442,
2/14/2026 13:36:17,7f057950,2nd,,,,,,,,,,4th,,3rd,,,5th,,,1st,,,,,,,,e3b0c442,
2/16/2026 18:15:52,bfdd26d9,,,,,,,,,2nd,3rd,,,,5th,,,,4th,,,,1st,,,,,e3b0c442,
2/16/2026 6:20:18,e9dbb533,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 14:45:02,8545b6f0,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 16:59:40,4c51c430,,,,3rd,,,,4th,,,,,,,,5th,,,,2nd,1st,,,,,,e3b0c442,
2/20/2026 21:04:11,268a5c7c,,,,,,,4th,3rd,,,,,,,,,5th,1st,,,,2nd,,,,,e3b0c442,
2/18/2026 12:47:58,16189c03,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 17:11:48,01f6e9c4,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 12:09:28,4f567315,,3rd,,,2nd,,,,5th,,1st,,,,,,,,,,4th,,,,,No Preferences,e3b0c442,
2/17/2026 14:06:12,fc878341,4th,,,,,,,,,,5th,,3rd,,,,,,,,,,1st,2nd,,,e3b0c442,
2/21/2026 13:59:28,0bb93a6f,,,,,,,,5th,,,,,,,,1st,,,,3rd,2nd,4th,,,,,e3b0c442,
2/14/2026 15:31:02,79177a0a,,,,,,,,,,,,,1st,2nd,,,,,4th,,3rd,,,,5th,,e3b0c442,
2/16/2026 23:57:40,6afd2af2,,,,,,3rd,2nd,,,,,,,,,,,,5th,,,1st,,,4th,,e3b0c442,
2/14/2026 13:45:30,e4c75779,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 18:21:52,c3589ffa,,,,2nd,,,,,,,5th,,,,4th,,3rd,,,,,,1st,,,,e3b0c442,
2/14/2026 12:19:40,fc99398e,,,,,,4th,,,,,,1st,2nd,3rd,,,,,,,,,,,5th,,e3b0c442,
2/14/2026 16:05:02,2113c103,,,,,,2nd,,,1st,,4th,,,,,,,,3rd,,5th,,,,,,"5fd2e8c7, 986c2503, c166286c, 177bf6ef, 4642bb6f, 498b4ea1",
2/14/2026 17:30:31,9f9cea27,,,,4th,,,,,,3rd,5th,,,,,,2nd,,,,,,1st,,,,e3b0c442,
2/14/2026 12:06:53,713a2b5a,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/21/2026 7:49:11,713a2b5a,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 15:41:50,74278cea,,,,4th,3rd,,,,2nd,,,,,5th,,,,,,,,,,,1st,,e3b0c442,
2/17/2026 13:53:12,b1aab128,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 23:06:03,a972407a,,,,4th,,,,,,,,,,,,1st,2nd,,,3rd,5th,,,,,,e3b0c442,
2/14/2026 17:20:26,2c1133d2,5th,,,1st,3rd,2nd,,,,,,,4th,,,,,,,,,,,,,,e3b0c442,
2/14/2026 12:14:11,814f0d82,,1st,,,,,,,,,3rd,,,,,5th,4th,,,,,,,,2nd,,e3b0c442,
2/15/2026 7:41:12,78f7be93,,,,5th,,,,2nd,,,,,,,,,1st,,,,,3rd,4th,,,,e3b0c442,
2/15/2026 11:47:44,13417049,,,,,,,1st,5th,,,,,,,2nd,,,,,,,3rd,,,4th,,e3b0c442,
2/14/2026 13:26:20,1ab80857,4th,,,,3rd,,,,,,2nd,,,1st,,,,,,,,,,,5th,,e3b0c442,
2/14/2026 16:09:18,a1b3846d,,,1st,,,4th,,,,3rd,,,5th,,,,,,,,,,,2nd,,,e3b0c442,
2/14/2026 14:06:16,a00d1c7c,,,,,,,,,,,,,5th,2nd,,3rd,,,,1st,4th,,,,,,2de13ff1,
2/17/2026 2:48:11,de4f6e18,,,,,,2nd,,,,,,1st,,,,,5th,,,4th,,,,3rd,,,e3b0c442,
2/14/2026 12:31:31,32f8d0c2,2nd,,,4th,,,,,,,,,,,,,1st,,,3rd,,,,,,,e3b0c442,
2/16/2026 20:19:36,6666cda6,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/19/2026 22:29:45,98251415,5th,,,,,,,,,,,,3rd,,,4th,,,,,,,1st,,2nd,,e3b0c442,
2/20/2026 12:47:12,31c9ac66,,3rd,,,2nd,,,,,,1st,4th,,,,,,,,,,,5th,,,,e3b0c442,
2/14/2026 12:06:41,15f3e45c,,1st,,,,2nd,,,,,,3rd,,,,,,,4th,,,,,5th,,,e3b0c442,
2/14/2026 14:20:22,70f6ecb0,,,,,,,,5th,3rd,,,,,,2nd,,,1st,,,,4th,,,,,e3b0c442,
2/14/2026 12:05:52,986c2503,,1st,,4th,,,,,5th,,,,,,,,,,,,,,,2nd,3rd,,e3b0c442,
2/14/2026 16:27:40,986c2503,,1st,,4th,,,,,5th,,,,,,,,,,,,,,,2nd,3rd,,"2c1133d2, 755fa442",
2/17/2026 4:20:50,79d4ea9b,,,,,4th,,,,,1st,,,,,,,2nd,,5th,,,,,,3rd,,e3b0c442,
2/15/2026 14:40:41,3226d2a2,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/16/2026 17:24:05,b36415b5,,,3rd,2nd,,,,,4th,,1st,,,,,,,,5th,,,,,,,,"ff9e6b9e, 31dc2643",
2/14/2026 12:14:38,b06f0cac,,2nd,,,,4th,,,,1st,,5th,,,,,,,,,,,,,3rd,,e3b0c442,
2/19/2026 19:41:17,595a1582,,1st,,,,,,,,2nd,,4th,,,,,,,,,5th,,,,3rd,,e3b0c442,
2/21/2026 13:42:58,1f829fb1,3rd,,4th,,,,,,,,,,1st,,,,,,5th,,2nd,,,,,,e3b0c442,
2/16/2026 5:18:58,1ed5971f,,,,,,,5th,1st,,,,,,,,,2nd,3rd,,,,4th,,,,,"da5f8bee, 1cc733ea, 911f72e0, 2e9efe53, 9b721c2b, 17f02504, 4e0ae49d, f8a2021b, a046dbe1",
2/14/2026 14:12:10,2de13ff1,4th,,,,,,,1st,,2nd,,5th,3rd,,,,,,,,,,,,,,e3b0c442,
2/14/2026 12:07:11,4ded93ca,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 12:18:05,bb86836e,,,4th,,,3rd,,,,5th,,,,,,,,,,,,,2nd,,1st,,e3b0c442,
2/14/2026 12:09:57,324afc56,,2nd,,,,5th,,,,,4th,,,,,,,,,,,,,3rd,1st,,17f02504,
2/16/2026 13:02:04,f4e25cfd,,,,,,,5th,4th,,,,,,,1st,,,3rd,,,,2nd,,,,,e3b0c442,
2/14/2026 20:41:34,66e78eaf,,,,2nd,,,,,,3rd,,,,5th,,4th,1st,,,,,,,,,,"f2e4a425, 39aba83a, 31dc2643",
2/17/2026 17:16:55,634627ac,,,,3rd,,,,,,4th,,,,,,,2nd,,,,1st,,,,5th,,e3b0c442,
2/20/2026 12:32:33,2afc4885,,4th,,,,1st,,,,3rd,,2nd,,,,,,,,,5th,,,,,,e3b0c442,
2/15/2026 11:59:23,7c49ceb5,,,4th,,3rd,,,,,1st,,,,,5th,2nd,,,,,,,,,,,e3b0c442,
2/15/2026 22:28:56,17e1a02b,,,,,,,,,,,,,4th,,,,,,2nd,,5th,,1st,,3rd,,e3b0c442,
2/14/2026 13:40:10,b8e29cfe,,,,,3rd,,,,,2nd,,,5th,,1st,,4th,,,,,,,,,,e3b0c442,
2/16/2026 10:00:39,3225477,,4th,2nd,,,1st,,3rd,,,,,,5th,,,,,,,,,,,,,e3b0c442,
2/14/2026 12:09:11,74cb8a13,,,,1st,,5th,,2nd,,,,,,,,,,4th,,,,3rd,,,,,c166286c,
2/14/2026 12:25:41,46e457c8,,,,3rd,,,,,5th,,,4th,,,,,1st,,,,,,2nd,,,,e3b0c442,
2/15/2026 12:55:03,eb61dab0,,,,,3rd,,,,,,,4th,,,,,,,5th,,,1st,2nd,,,,"4f33d608, 1cc733ea",
2/15/2026 12:42:08,6db4805d,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/19/2026 7:50:07,42e46e40,,,,,,,5th,1st,,,,,,,3rd,,,4th,,,,2nd,,,,,e3b0c442,
